ticker,company_name,market_cap_category
HESTERBIO.NSE,Hester Biosciences Limited,Small Cap
HFCL.NSE,HFCL Limited,Small Cap
HGINFRA.NSE,H.G. Infra Engineering Limited,Small Cap
HGS.NSE,Hinduja Global Solutions Limited,Small Cap
HIKAL.NSE,Hikal Limited,Small Cap
HIL.NSE,HIL Limited,Small Cap
HLEGLAS.NSE,HLE Glascoat Limited,Small Cap
HNDFDS.NSE,Hindustan Foods Limited,Small Cap
HOMEFIRST.NSE,Home First Finance Company India Limited,Small Cap
HONAUT.NSE,one,Small Cap
HSCL.NSE,Himadri Speciality Chemical Limited,Small Cap
HUDCO.NSE,Housing and Urban Development Corporation Limited,Small Cap
IBREALEST.NSE,Indiabulls Real Estate Limited,Small Cap
IBULHSGFIN.NSE,Indiabulls Housing Finance Limited,Small Cap
ICIL.NSE,Indo Count Industries Limited,Small Cap
ICRA.NSE,ICRA Limited,Small Cap
IDEA.NSE,one,Small Cap
IDFC.NSE,IDFC Limited,Small Cap
IEX.NSE,Indian Energy Exchange Limited,Small Cap
IFBIND.NSE,IFB Industries Limited,Small Cap
IFCI.NSE,IFCI Limited,Small Cap
IIFL.NSE,IIFL Finance Limited,Small Cap
IIFLWAM.NSE,IIFL Wealth Management Limited,Small Cap
INDIACEM.NSE,The India Cements Limited,Small Cap
INDIGOPNTS.NSE,Indigo Paints Limited,Small Cap
INDOCO.NSE,Indoco Remedies Limited,Small Cap
INDOSTAR.NSE,IndoStar Capital Finance Limited,Small Cap
INEOSSTYRO.NSE,INEOS Styrolution India Limited,Small Cap
INFIBEAM.NSE,Infibeam Avenues Limited,Small Cap
INGERRAND.NSE,Ingersoll-Rand (India) Limited,Small Cap
INOXLEISUR.NSE,INOX Leisure Limited,Small Cap
INTELLECT.NSE,Intellect Design Arena Limited,Small Cap
IOLCP.NSE,IOL Chemicals and Pharmaceuticals Limited,Small Cap
IRB.NSE,IRB Infrastructure Developers Limited,Small Cap
IRCON.NSE,Ircon International Limited,Small Cap
ITDC.NSE,India Tourism Development Corporation Limited,Small Cap
ITI.NSE,ITI Limited,Small Cap
JAMNAAUTO.NSE,Jamna Auto Industries Limited,Small Cap
JBCHEPHARM.NSE,J. B. Chemicals & Pharmaceuticals Limited,Small Cap
JCHAC.NSE,Johnson Controls-Hitachi Air Conditioning India Limited,Small Cap
JINDALPOLY.NSE,Jindal Poly Films Limited,Small Cap
JINDALSAW.NSE,Jindal Saw Limited,Small Cap
JKLAKSHMI.NSE,JK Lakshmi Cement Limited,Small Cap
JKPAPER.NSE,JK Paper Limited,Small Cap
JKTYRE.NSE,JK Tyre & Industries Limited,Small Cap
JMFINANCIL.NSE,JM Financial Limited,Small Cap
JPASSOCIAT.NSE,Jaiprakash Associates Limited,Small Cap
JPPOWER.NSE,Jaiprakash Power Ventures Limited,Small Cap
JSL.NSE,Jindal Stainless Limited,Small Cap
JSLHISAR.NSE,Jindal Stainless (Hisar) Limited,Small Cap
JSWHL.NSE,JSW Holdings Limited,Small Cap
JSWISPL.NSE,JSW Ispat Special Products Limited,Small Cap
JUBLINGREA.NSE,Jubilant Ingrevia Limited,Small Cap
JUBLPHARMA.NSE,Jubilant Pharmova Limited,Small Cap
JUSTDIAL.NSE,Just Dial Limited,Small Cap
JYOTHYLAB.NSE,Jyothy Labs Limited,Small Cap
KALPATPOWR.NSE,Kalpataru Power Transmission Limited,Small Cap
KALYANKJIL.NSE,Kalyan Jewellers India Limited,Small Cap
KARURVYSYA.NSE,The Karur Vysya Bank Limited,Small Cap
KEC.NSE,KEC International Limited,Small Cap
KEI.NSE,KEI Industries Limited,Small Cap
KENNAMET.NSE,Kennametal India Limited,Small Cap
KIRLFER.NSE,Kirloskar Ferrous Industries Limited,Small Cap
KIRLOSBROS.NSE,Kirloskar Brothers Limited,Small Cap
KIRLOSENG.NSE,Kirloskar Oil Engines Limited,Small Cap
KNRCON.NSE,KNR Constructions Limited,Small Cap
KPITTECH.NSE,KPIT Technologies Limited,Small Cap
KPRMILL.NSE,K.P.R. Mill Limited,Small Cap
KRBL.NSE,KRBL Limited,Small Cap
KSB.NSE,KSB Limited,Small Cap
KSCL.NSE,Kaveri Seed Company Limited,Small Cap
LAOPALA.NSE,La Opala RG Limited,Small Cap
LAXMIMACH.NSE,Lakshmi Machine Works Limited,Small Cap
LEMONTREE.NSE,Lemon Tree Hotels Limited,Small Cap
LINDEINDIA.NSE,Linde India Limited,Small Cap
LUXIND.NSE,Lux Industries Limited,Small Cap
LXCHEM.NSE,Laxmi Organic Industries Limited,Small Cap
MAGMA.NSE,Magma Fincorp Limited,Small Cap
MAHINDCIE.NSE,Mahindra CIE Automotive Limited,Small Cap
MAHLIFE.NSE,Mahindra Lifespace Developers Limited,Small Cap
MAHLOG.NSE,Mahindra Logistics Limited,Small Cap
MAHSCOOTER.NSE,Maharashtra Scooters Ltd.,Small Cap
MAITHANALL.NSE,Maithan Alloys Limited,Small Cap
MANAPPURAM.NSE,Manappuram Finance Limited,Small Cap
MARKSANS.NSE,Marksans Pharma Limited,Small Cap
MASFIN.NSE,MAS Financial Services Limited,Small Cap
MASTEK.NSE,Mastek Limited,Small Cap
MATRIMONY.NSE,Matrimony.com Limited,Small Cap
MAYURUNIQ.NSE,Mayur Uniquoters Limited,Small Cap
MAZDOCK.NSE,Mazagon Dock Shipbuilders Limited,Small Cap
MCX.NSE,Multi Commodity Exchange of India Limited,Small Cap
MEGH.NSE,Meghmani Organics Limited,Small Cap
METROPOLIS.NSE,Metropolis Healthcare Limited,Small Cap
MGL.NSE,Mahanagar Gas Limited,Small Cap
MHRIL.NSE,Mahindra Holidays & Resorts India Limited,Small Cap
MIDHANI.NSE,Mishra Dhatu Nigam Limited,Small Cap
MINDACORP.NSE,Minda Corporation Limited,Small Cap
MMTC.NSE,MMTC Limited,Small Cap
MOIL.NSE,MOIL Limited,Small Cap
MOREPENLAB.NSE,Morepen Laboratories Limited,Small Cap
MOTILALOFS.NSE,Motilal Oswal Financial Services Limited,Small Cap
MRPL.NSE,Mangalore Refinery and Petrochemicals Limited,Small Cap
MTARTECH.NSE,MTAR Technologies Limited,Small Cap
MTNL.NSE,one,Small Cap
NATIONALUM.NSE,National Aluminium Company Limited,Small Cap
NAZARA.NSE,Nazara Technologies Limited,Small Cap
NBCC.NSE,NBCC (India) Limited,Small Cap
NCC.NSE,NCC Limited,Small Cap
NDRAUTO.NSE,one,Small Cap
NESCO.NSE,Nesco Limited,Small Cap
NEULANDLAB.NSE,Neuland Laboratories Limited,Small Cap
